Title;Category;Location;Beds;Baths;Price
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
7 Bed House With En Suite In Ridgeways;Other;Ridgeways;7;7;130000000
5 Bed House With En Suite In Runda;Other;Runda, Westlands;5;5;150000000
3 Bed Townhouse With En Suite In Thika;Townhouse;Thika;3;3;13500000
4 Bed Townhouse With En Suite At Links Road;Townhouse;Links Road, Nyali Area, Nyali;4;4;120000000
6 Bed Villa With En Suite In Karen;Villa;Karen;6;6;130000000
4 Bed Villa With En Suite At Mtwapa;Villa;Jumba Ruins, Mtwapa;4;5;42000000
4 Bed Townhouse With En Suite At Lavington;Townhouse;Lavington, Lavington;4;4;50000000
3 Bed House With En Suite At Palm Road;Other;Palm Road, Malindi;3;3;14000000
5 Bed Townhouse With En Suite In Lavington;Villa;Lavington;5;5;65000000
5 Bed House With En Suite At Kitisuri;Other;Kitisuri, Kitisuru, Westlands;5;;376250000
4 Bed House With En Suite At Loresho;Other;Loresho, Loresho, Westlands;4;;75000000
4 Bed Townhouse With En Suite At Five Star Road;Townhouse;Five Star Road, South C;4;4;20000000
5 Bed Townhouse With En Suite In Spring Valley;Townhouse;Spring Valley, Westlands;5;6;90000000
4 Bed Townhouse With En Suite At Owashika Road;Townhouse;Owashika Road, Lavington;4;4;58500000
5 Bed Townhouse With En Suite In Nyali Area;Villa;Nyali Area, Nyali;5;5;45000000
3 Bed House With En Suite At Kangundo Road;Bungalow;Kangundo Road, Kamulu, Kamulu Joska Malaa;3;3;7300000
4 Bed Villa With En Suite In Karen;Villa;Karen;4;5;69000000
